# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	max(p)	max(epsilon)	max(k)
0               	0.00000000e+00	1.48550000e+01	3.75000000e-01
1               	7.47235675e+02	1.03341288e+03	8.84106038e+00
2               	1.13310991e+02	3.14839902e+04	1.20371659e+01
3               	3.76060055e+01	3.88846738e+04	7.66869614e+00
4               	2.18017552e+01	1.65864565e+04	5.47345101e+00
5               	2.07446552e+01	6.56626540e+03	5.10913011e+00
6               	2.19380526e+01	5.92079741e+03	4.17898744e+00
7               	2.90240839e+01	6.99356911e+03	4.28098659e+00
8               	3.40586491e+01	5.11481829e+03	3.51695366e+00
9               	3.77483198e+01	4.32277561e+03	3.04193332e+00
10              	3.98754375e+01	4.66430866e+03	4.04155081e+00
11              	4.08018202e+01	4.36310436e+03	3.34054205e+00
12              	4.07260889e+01	3.90634727e+03	3.47558093e+00
13              	3.92215007e+01	3.90664021e+03	3.59677084e+00
14              	3.70016839e+01	3.84965041e+03	3.70822331e+00
15              	3.41449213e+01	3.77036820e+03	3.80534525e+00
16              	3.11810490e+01	3.80476318e+03	3.88652987e+00
17              	2.82146268e+01	3.79433845e+03	3.95863751e+00
18              	2.50650705e+01	3.38735128e+03	4.02140238e+00
19              	2.25133372e+01	3.38664995e+03	4.06972795e+00
20              	2.10690826e+01	3.61895757e+03	4.13024875e+00
21              	2.08237807e+01	3.85243060e+03	4.18917133e+00
22              	2.07763662e+01	4.08854683e+03	4.24330330e+00
23              	2.05104907e+01	4.29921626e+03	4.29341201e+00
24              	2.04940866e+01	4.44260996e+03	4.34290342e+00
25              	2.04029410e+01	4.54597522e+03	4.39179998e+00
26              	2.03614883e+01	4.61866170e+03	4.44132379e+00
27              	2.03942787e+01	4.68190936e+03	4.48721283e+00
28              	2.03763947e+01	4.73694833e+03	4.53007469e+00
29              	2.03584274e+01	4.76097230e+03	4.57728233e+00
30              	2.03106805e+01	4.76016425e+03	4.61660698e+00
31              	2.02336052e+01	4.75127185e+03	4.65729028e+00
32              	2.02154335e+01	4.73306164e+03	4.68896581e+00
33              	2.01032838e+01	4.72085928e+03	4.72482969e+00
34              	2.00888614e+01	4.65947377e+03	4.75033128e+00
35              	2.00108373e+01	4.68206848e+03	4.77358122e+00
36              	1.99154599e+01	4.72428147e+03	4.79622459e+00
37              	1.97994291e+01	4.74426602e+03	4.80862056e+00
38              	1.97634416e+01	4.76158355e+03	4.82384032e+00
39              	1.96207394e+01	4.77836793e+03	4.83298856e+00
40              	1.95587178e+01	4.80508925e+03	4.83284752e+00
41              	1.95186349e+01	4.82308525e+03	4.83672928e+00
42              	1.93897329e+01	4.83509845e+03	4.83214185e+00
43              	1.92908957e+01	4.83971808e+03	4.81662920e+00
44              	1.92401193e+01	4.84993192e+03	4.80335967e+00
45              	1.91471342e+01	4.87494374e+03	4.78557715e+00
46              	1.90860453e+01	4.90236804e+03	4.79110439e+00
47              	1.89897738e+01	4.91939432e+03	4.86252115e+00
48              	1.88810798e+01	4.92433511e+03	4.93579973e+00
49              	1.88161126e+01	4.92076951e+03	5.00794799e+00
50              	1.87136735e+01	4.91207643e+03	5.07822589e+00
51              	1.86123982e+01	4.90294047e+03	5.14633659e+00
52              	1.85323289e+01	4.89145775e+03	5.21309802e+00
53              	1.84516918e+01	4.88367856e+03	5.28024437e+00
54              	1.83529814e+01	4.87930850e+03	5.34522268e+00
55              	1.83270108e+01	4.87563342e+03	5.41140265e+00
56              	1.83061030e+01	4.87225006e+03	5.47947326e+00
57              	1.82908772e+01	4.86955672e+03	5.54528762e+00
58              	1.82847244e+01	4.86907835e+03	5.60974260e+00
59              	1.82911706e+01	4.86895308e+03	5.67250402e+00
60              	1.83072268e+01	4.87206133e+03	5.73655951e+00
61              	1.83459648e+01	4.87511718e+03	5.80199104e+00
62              	1.83786091e+01	4.87882007e+03	5.86539806e+00
63              	1.83873512e+01	4.88270313e+03	5.92667262e+00
64              	1.84328912e+01	4.88587480e+03	5.98583009e+00
