# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	maxMag(U)
0               	0.00000000e+00
1               	1.63340190e+01
2               	1.41289649e+01
3               	1.31550878e+01
4               	1.25770403e+01
5               	1.21397648e+01
6               	1.18333917e+01
7               	1.16046378e+01
8               	1.14481004e+01
9               	1.13218238e+01
10              	1.11993372e+01
11              	1.11577353e+01
12              	1.13002532e+01
13              	1.14006078e+01
14              	1.14711660e+01
15              	1.15119078e+01
16              	1.15197217e+01
17              	1.15207356e+01
18              	1.15293432e+01
19              	1.15267705e+01
20              	1.15143761e+01
21              	1.14949366e+01
22              	1.14720227e+01
23              	1.14439918e+01
24              	1.14231722e+01
25              	1.14025714e+01
26              	1.13771736e+01
27              	1.13515303e+01
28              	1.13281352e+01
29              	1.13019871e+01
30              	1.12773273e+01
31              	1.12522510e+01
32              	1.12290973e+01
33              	1.12064246e+01
34              	1.11845901e+01
35              	1.11657957e+01
36              	1.11461467e+01
37              	1.11259404e+01
38              	1.11088435e+01
39              	1.10920025e+01
40              	1.10755727e+01
41              	1.10605092e+01
42              	1.10447340e+01
43              	1.10292009e+01
44              	1.10148535e+01
45              	1.10004092e+01
46              	1.09866434e+01
47              	1.09724493e+01
48              	1.09583621e+01
49              	1.09464404e+01
50              	1.09332415e+01
51              	1.09201858e+01
52              	1.09078858e+01
53              	1.08957524e+01
54              	1.08832093e+01
55              	1.08712876e+01
56              	1.08598008e+01
57              	1.08482868e+01
58              	1.08382268e+01
59              	1.08284180e+01
60              	1.08183653e+01
61              	1.08083673e+01
62              	1.07980815e+01
63              	1.07873598e+01
64              	1.07768763e+01
65              	1.07658054e+01
66              	1.07541380e+01
67              	1.07415977e+01
68              	1.07291353e+01
69              	1.07155946e+01
70              	1.07013106e+01
71              	1.06875560e+01
72              	1.06739310e+01
73              	1.06590448e+01
74              	1.06436607e+01
75              	1.06272280e+01
76              	1.06097853e+01
77              	1.05911921e+01
78              	1.05715843e+01
79              	1.05508993e+01
80              	1.05295945e+01
81              	1.05084651e+01
82              	1.04862013e+01
83              	1.04631380e+01
84              	1.04382277e+01
85              	1.04120834e+01
86              	1.03842217e+01
87              	1.03554162e+01
88              	1.03244197e+01
89              	1.02922175e+01
90              	1.02605376e+01
91              	1.02278928e+01
92              	1.01936210e+01
93              	1.01795920e+01
94              	1.01797008e+01
95              	1.01797836e+01
96              	1.01798753e+01
97              	1.01799807e+01
98              	1.01800224e+01
99              	1.01800038e+01
100             	1.01798861e+01
101             	1.01798812e+01
102             	1.01799680e+01
103             	1.01800274e+01
104             	1.01801636e+01
105             	1.01801402e+01
106             	1.01802640e+01
107             	1.01802564e+01
108             	1.01802258e+01
109             	1.01802273e+01
110             	1.01802821e+01
111             	1.01803626e+01
112             	1.01804453e+01
113             	1.01804697e+01
114             	1.01804478e+01
115             	1.01804535e+01
116             	1.01805090e+01
117             	1.01805878e+01
118             	1.01806867e+01
