# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	min(p)	min(epsilon)	min(k)
0               	0.00000000e+00	1.48550000e+01	3.75000000e-01
1               	8.83235338e+00	1.29016217e+01	2.93122106e-01
2               	-4.82960639e+01	1.17601453e+01	9.60157032e-02
3               	-9.48204670e+01	7.97855843e+00	7.85356344e-02
4               	-8.86973131e+01	7.84565101e+00	7.75587806e-02
5               	-6.84104123e+01	6.88042288e+00	7.37184981e-02
6               	-5.34988326e+01	6.85355906e+00	8.35154982e-02
7               	-4.13851905e+01	7.54088661e+00	9.18540097e-02
8               	-3.26435860e+01	7.29333089e+00	9.25145068e-02
9               	-2.53100396e+01	6.82548929e+00	9.82475645e-02
10              	-1.84287828e+01	6.41765983e+00	1.03410530e-01
11              	-1.24284479e+01	6.07181738e+00	1.05189566e-01
12              	-7.00923778e+00	5.80833896e+00	1.09124912e-01
13              	-5.72738039e+00	5.63555826e+00	1.05869776e-01
14              	-6.67080811e+00	5.53953208e+00	1.05859854e-01
15              	-7.61514924e+00	5.51235585e+00	1.10461854e-01
16              	-8.44872544e+00	5.54283470e+00	9.79232176e-02
17              	-9.27409956e+00	5.62408278e+00	9.47626908e-02
18              	-1.02128665e+01	5.74867371e+00	9.23941525e-02
19              	-1.06432447e+01	5.90183943e+00	9.85076496e-02
20              	-1.15502550e+01	6.05862587e+00	1.00621135e-01
21              	-1.21915822e+01	6.22873143e+00	9.10634482e-02
22              	-1.25052054e+01	6.40437574e+00	9.10304606e-02
23              	-1.34038718e+01	6.58218889e+00	8.07128922e-02
24              	-1.36656016e+01	6.75823767e+00	8.82498304e-02
25              	-1.46277927e+01	6.93463881e+00	8.32362802e-02
26              	-1.50335099e+01	7.09601593e+00	8.33203554e-02
27              	-1.54696240e+01	7.24645196e+00	7.97384036e-02
28              	-1.58369476e+01	7.33967947e+00	7.40251194e-02
29              	-1.61027346e+01	7.09566155e+00	7.29323165e-02
30              	-1.64905900e+01	7.14672298e+00	7.38355324e-02
31              	-1.67911594e+01	7.26921840e+00	7.10348270e-02
32              	-1.71264008e+01	6.95337669e+00	6.58626746e-02
33              	-1.73158012e+01	6.70073723e+00	6.36121281e-02
34              	-1.74961741e+01	6.63687791e+00	6.11384651e-02
35              	-1.76216074e+01	6.42440673e+00	5.88411805e-02
36              	-1.77936351e+01	6.37488688e+00	5.64786745e-02
37              	-1.79162844e+01	6.15320519e+00	5.20098414e-02
38              	-1.78567781e+01	5.87981725e+00	4.89688875e-02
39              	-1.79620846e+01	5.75735927e+00	4.80875999e-02
40              	-1.79079273e+01	5.77627238e+00	4.73621447e-02
41              	-1.77592031e+01	5.67180976e+00	4.55159956e-02
42              	-1.78606959e+01	5.43992480e+00	4.33444953e-02
43              	-1.77554182e+01	5.28457864e+00	4.26067454e-02
44              	-1.76491409e+01	5.22827710e+00	4.13353688e-02
45              	-1.74997192e+01	5.02833517e+00	3.84766501e-02
46              	-1.73909902e+01	4.70335787e+00	3.68316048e-02
47              	-1.72213006e+01	4.66393638e+00	3.65740158e-02
48              	-1.71224098e+01	4.58959367e+00	3.45410406e-02
49              	-1.69274284e+01	4.29093281e+00	3.23859499e-02
50              	-1.67327245e+01	4.17091893e+00	3.24677359e-02
51              	-1.66068789e+01	4.22145896e+00	3.29177813e-02
52              	-1.64049802e+01	4.21046149e+00	3.17586444e-02
53              	-1.62297678e+01	4.03084371e+00	3.00612887e-02
54              	-1.61597106e+01	3.89112696e+00	2.93741127e-02
55              	-1.59148303e+01	3.84908377e+00	2.92902753e-02
56              	-1.56913765e+01	3.83970488e+00	2.88868004e-02
57              	-1.54864417e+01	3.77516631e+00	2.83089426e-02
58              	-1.52920276e+01	3.72283299e+00	2.76539000e-02
59              	-1.50918295e+01	3.65042269e+00	2.63028554e-02
60              	-1.48815571e+01	3.47140792e+00	2.48309115e-02
61              	-1.46249846e+01	3.37029211e+00	2.46781734e-02
62              	-1.43909643e+01	3.39772233e+00	2.50264623e-02
63              	-1.42241529e+01	3.41850456e+00	2.46549083e-02
64              	-1.39807813e+01	3.34246104e+00	2.37483605e-02
65              	-1.37460339e+01	3.27584877e+00	2.33571041e-02
66              	-1.35221634e+01	3.26052128e+00	2.34381803e-02
67              	-1.33511558e+01	3.28163110e+00	2.35420840e-02
68              	-1.30853520e+01	3.29590579e+00	2.30828403e-02
69              	-1.28693565e+01	3.21388319e+00	2.19898535e-02
70              	-1.25701381e+01	3.12122908e+00	2.15287675e-02
71              	-1.23275407e+01	3.11352080e+00	2.17514528e-02
