# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	minMag(U)
0               	0.00000000e+00
1               	1.64437348e-01
2               	8.09724847e-04
3               	2.04881987e-02
4               	2.71502437e-02
5               	5.12405219e-02
6               	1.46935459e-01
7               	8.59965722e-02
8               	9.55035717e-02
9               	1.38237903e-01
10              	1.34096385e-01
11              	7.45240620e-02
12              	1.35753515e-01
13              	1.33513659e-01
14              	1.27061044e-01
15              	1.15631538e-01
16              	1.07309206e-01
17              	1.02328973e-01
18              	9.83483532e-02
19              	9.72711824e-02
20              	9.65330685e-02
21              	8.66186206e-02
22              	8.37573076e-02
23              	8.71924530e-02
24              	8.68705089e-02
25              	7.76212406e-02
26              	8.14561437e-02
27              	6.80917114e-02
28              	6.98814436e-02
29              	6.27174792e-02
30              	5.92054886e-02
31              	1.05386662e-02
32              	5.55987494e-02
33              	5.56016854e-02
34              	4.29227561e-02
35              	2.50330302e-02
36              	2.37778298e-02
37              	1.41370650e-02
38              	2.44795633e-02
39              	3.27609358e-02
40              	3.75930263e-02
41              	3.92323766e-02
42              	2.82360719e-02
43              	1.74963768e-02
44              	1.10229489e-02
45              	4.25277815e-03
46              	1.26509980e-02
47              	1.68299357e-02
48              	1.92660442e-02
49              	2.04847403e-02
50              	1.79088579e-02
51              	1.91828917e-02
52              	2.39265043e-02
53              	2.90562744e-02
54              	2.71918641e-02
55              	2.75851348e-02
56              	2.65973260e-02
57              	2.77958587e-02
58              	2.63052609e-02
59              	2.99921090e-02
60              	2.73323529e-02
61              	2.94217453e-02
62              	3.04361862e-02
63              	2.89467007e-02
64              	2.76426311e-02
65              	2.29703012e-02
66              	2.08163643e-02
67              	2.05845800e-02
68              	1.47450930e-02
69              	1.55780234e-02
70              	1.40257401e-02
71              	1.29601820e-02
72              	1.36818136e-02
73              	9.55153069e-03
74              	1.08456891e-02
75              	1.13014610e-02
76              	1.07165614e-02
77              	1.19754778e-02
78              	9.84003696e-03
79              	1.12544143e-02
80              	1.14261189e-02
81              	1.35904349e-02
82              	1.12728364e-02
83              	1.23022185e-02
84              	1.54290995e-02
85              	1.40104937e-02
86              	1.51961299e-02
87              	1.81202911e-02
88              	1.54454713e-02
89              	4.82518814e-03
90              	1.20569085e-02
91              	1.81751156e-02
92              	9.97017756e-03
93              	2.03445389e-02
94              	1.84913074e-02
95              	1.89877797e-02
96              	1.89773000e-02
97              	2.03599039e-02
98              	2.76597935e-03
99              	1.77073936e-02
100             	1.93632840e-02
101             	1.83068633e-02
102             	1.74419458e-02
103             	1.13016591e-02
104             	1.47255007e-02
105             	1.75491896e-02
106             	1.71585452e-02
107             	9.40782853e-03
108             	1.74512770e-02
109             	1.64155334e-02
110             	7.06752094e-03
111             	1.65405181e-02
112             	1.57736125e-02
113             	6.80295022e-03
114             	5.61868201e-03
115             	5.36813790e-03
116             	1.59308199e-02
117             	2.26230078e-03
118             	6.75384197e-03
119             	4.04435740e-03
120             	1.50045369e-02
121             	1.41006588e-02
122             	1.48402515e-02
123             	1.46185488e-02
124             	1.37638548e-02
125             	1.42853104e-02
126             	1.40023499e-02
127             	1.33140017e-02
128             	1.37813422e-02
129             	1.34876267e-02
130             	1.29403093e-02
131             	1.33428485e-02
132             	1.30577724e-02
133             	1.26320552e-02
134             	1.01062020e-02
135             	7.18265865e-03
136             	9.23142625e-03
137             	9.69048674e-03
138             	7.87896234e-03
139             	7.97999628e-03
140             	8.81119847e-03
141             	9.50820865e-03
142             	9.57328533e-03
143             	9.04594252e-03
144             	7.83595259e-03
145             	6.33596345e-03
146             	4.83797294e-03
147             	4.84406118e-03
148             	7.18586006e-03
149             	1.07137052e-02
150             	1.17132096e-02
151             	1.14898892e-02
152             	1.12723843e-02
153             	1.13700450e-02
154             	1.12760270e-02
155             	1.11955190e-02
156             	1.12866703e-02
157             	1.11838709e-02
158             	1.11065249e-02
159             	1.11704645e-02
160             	1.10513120e-02
161             	1.09687910e-02
162             	1.10604880e-02
163             	1.09403717e-02
164             	1.08580050e-02
165             	1.09663324e-02
166             	1.08571769e-02
167             	1.08216180e-02
168             	1.07687982e-02
169             	1.07083713e-02
170             	1.07345365e-02
171             	1.06275162e-02
172             	1.06107876e-02
173             	1.05780867e-02
174             	1.06278223e-02
175             	1.05721389e-02
176             	1.05215192e-02
177             	1.06753197e-02
178             	1.05510168e-02
179             	1.04943215e-02
180             	1.06554819e-02
181             	1.05305505e-02
182             	1.05834123e-02
183             	1.05486300e-02
184             	1.04930463e-02
185             	1.07186493e-02
186             	1.05600680e-02
187             	1.05192620e-02
188             	1.07217791e-02
189             	1.06320960e-02
190             	1.06464710e-02
191             	1.06095700e-02
192             	1.07375430e-02
193             	1.06990338e-02
194             	1.06686454e-02
195             	1.06311402e-02
196             	1.08563791e-02
197             	1.08112023e-02
198             	1.07387176e-02
199             	1.08515387e-02
200             	1.08652004e-02
201             	1.08078072e-02
202             	1.08439264e-02
203             	1.10042462e-02
204             	1.08890354e-02
205             	1.09751341e-02
206             	1.09520987e-02
207             	1.09271826e-02
208             	1.11369455e-02
209             	1.10683011e-02
210             	1.10131270e-02
211             	1.11289869e-02
212             	1.11688924e-02
213             	1.11209815e-02
214             	1.11140498e-02
215             	1.13710959e-02
216             	1.12263989e-02
217             	1.12669300e-02
218             	1.13079051e-02
219             	1.13722438e-02
220             	1.13154588e-02
221             	1.13026082e-02
222             	1.15303642e-02
223             	1.14233508e-02
224             	1.14172218e-02
225             	1.16200246e-02
226             	1.15454268e-02
227             	1.15225970e-02
228             	1.17366823e-02
229             	1.16455033e-02
230             	1.16224921e-02
231             	1.18329962e-02
232             	1.17511091e-02
233             	1.17225045e-02
234             	1.19168715e-02
235             	1.17975841e-02
236             	1.18460845e-02
237             	1.19068934e-02
238             	1.19413219e-02
239             	1.18686317e-02
240             	1.19264650e-02
241             	1.19912313e-02
242             	1.20288697e-02
243             	1.19874312e-02
244             	1.19692434e-02
245             	1.22130895e-02
246             	1.20907619e-02
247             	1.20742194e-02
248             	1.22623030e-02
249             	1.21744411e-02
250             	1.21422053e-02
251             	1.23075045e-02
252             	1.22193869e-02
253             	1.21784958e-02
254             	1.22613080e-02
255             	1.22510761e-02
256             	1.22141484e-02
257             	1.22194490e-02
258             	1.22317350e-02
259             	1.21956920e-02
260             	1.21782271e-02
261             	1.22087953e-02
262             	1.21756996e-02
