# Residuals     
# Time          	p               	Ux              	Uy              	k               	epsilon         
0               	N/A	N/A	N/A	N/A
1               	1.00000000e+00	1.00000000e+00	0.00000000e+00	1.00000000e+00	2.23232063e-01
2               	4.73992831e-02	4.28710974e-01	2.88569338e-01	3.70849168e-01	1.47321700e-01
3               	1.44902445e-01	1.04295150e-01	1.56909633e-01	1.96624321e-01	8.58553943e-02
4               	1.09688686e-01	6.08147997e-02	8.62789599e-02	1.35066628e-01	1.04847220e-01
5               	9.37245066e-02	5.57833930e-02	8.05057505e-02	1.01583177e-01	9.35859840e-02
6               	8.13618594e-02	5.24895621e-02	6.78624516e-02	8.38433888e-02	6.09357534e-02
7               	6.95151492e-02	4.94289070e-02	6.32125759e-02	7.65715875e-02	6.15202613e-02
8               	6.34745227e-02	4.66246756e-02	6.04236589e-02	7.32718825e-02	6.08282750e-02
9               	5.91255580e-02	4.31968693e-02	5.98708585e-02	7.11273483e-02	6.32941528e-02
10              	5.48427356e-02	4.05009258e-02	5.68156412e-02	6.89781454e-02	5.99207491e-02
11              	5.19889484e-02	3.77123980e-02	5.40145182e-02	6.71333562e-02	6.00284943e-02
12              	5.15628508e-02	3.53870266e-02	5.09451533e-02	6.45370748e-02	5.64111232e-02
13              	5.27410690e-02	3.34293063e-02	4.85459227e-02	6.21710348e-02	5.41107603e-02
14              	5.22070343e-02	3.14484891e-02	4.69689095e-02	5.98267683e-02	5.21177821e-02
15              	5.15792026e-02	2.95073891e-02	4.61347936e-02	5.76342844e-02	5.05614680e-02
16              	5.04417063e-02	2.77856432e-02	4.53828129e-02	5.56149709e-02	4.97845519e-02
17              	4.84241820e-02	2.61629323e-02	4.45494722e-02	5.35297076e-02	4.70507460e-02
18              	4.66029952e-02	2.47440441e-02	4.31824295e-02	5.15867232e-02	4.49020228e-02
19              	4.55821580e-02	2.34000784e-02	4.18504225e-02	4.95902845e-02	4.23270394e-02
20              	4.34994983e-02	2.21286519e-02	4.08580092e-02	4.77394530e-02	4.02772013e-02
21              	4.24397344e-02	2.07458746e-02	3.97336318e-02	4.58473645e-02	3.80102634e-02
22              	4.14089291e-02	1.95328368e-02	3.86392187e-02	4.40719651e-02	3.59952871e-02
23              	4.03830328e-02	1.83665554e-02	3.74334209e-02	4.22756323e-02	3.38663465e-02
24              	3.96401245e-02	1.72323202e-02	3.56609913e-02	4.05123640e-02	3.17896490e-02
25              	3.79860426e-02	1.61943364e-02	3.42206111e-02	3.88506834e-02	2.97678527e-02
26              	3.71152666e-02	1.51195386e-02	3.29656226e-02	3.72742684e-02	2.78664253e-02
27              	3.66624775e-02	1.41177334e-02	3.19905747e-02	3.57847366e-02	2.61795857e-02
